respondent_id,true_persona,age,age_group,gender,locality,occupation,monthly_income_inr,income_bracket,household_size_bracket,ever_sent_homecooked_food,segment,heard_of_freeze_dry,used_freeze_dry_before,brand_used,frequency_sending_food,method_no_preservation,method_freeze_athome,method_vacuum_self,method_freezedry_service,method_none,dish_dal,dish_rice_biryani,dish_rotis,dish_sabzi,dish_nonveg_curry,dish_sweets_snacks,dish_pickles_chutneys,occasion_abroad_family,occasion_own_travel,occasion_festival_gifting,occasion_emergency_stock,occasion_elderly_parents,channel_instagram,channel_google,channel_referral,channel_kirana_partner,channel_college_rwa,channel_influencer,packaging_pref,taste_importance,price_importance,shelf_life_importance,hygiene_importance,convenience_importance,brand_trust_importance,variety_importance,speed_importance,likelihood_to_use,likely_to_use,max_price_per_kg_inr,price_bracket,min_order_qty_kg,qty_bracket,monthly_spend_inr,spend_bracket,willing_pay_extra_speed,would_recommend
R0013,Convenience_Family,36,35-44,Female,Madhapur,Self-employed / Business owner,65300.0,"Rs 50,000 - 1,00,000",3-4,Yes,NRI_Family,No,No,,Rarely (once or twice a year),0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,"Sealed pouches (lightweight, compact)",3,4,4,5,5,4,3,3,3,No,820.0,Above Rs 600,3.6,3-5 kg,460.0,Below Rs 500,Yes,Maybe
R0014,Skeptical_LowIntent,31,25-34,Prefer not to say,Miyapur,Other,60100.0,"Rs 50,000 - 1,00,000",1-2,No,Neither,No,No,,Never,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Jars/containers (reusable),2,4,3,2,2,3,2,1,1,No,273.0,Below Rs 300,3.1,3-5 kg,100.0,Below Rs 500,No,Maybe
R0015,Traveler_Budget,29,25-34,Female,Gachibowli,Salaried / Employed,43700.0,"Below Rs 50,000",3-4,Yes,NRI_Family,No,No,,Frequently (monthly or more),1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,No strong preference,2,5,4,3,4,4,3,4,4,Yes,371.0,Rs 300-400,7.9,6-10 kg,3690.0,"Rs 3,001-5,000",No,Yes
R0016,NRI_Quality,45,45-54,Female,LB Nagar,Homemaker,62400.0,"Rs 50,000 - 1,00,000",1-2,Yes,NRI_Family,Yes,No,,Frequently (monthly or more),0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,Jars/containers (reusable),4,2,4,5,3,4,4,3,3,No,680.0,Above Rs 600,6.4,6-10 kg,4480.0,"Rs 3,001-5,000",Yes,Maybe
R0017,Convenience_Family,41,35-44,Male,Jubilee Hills,Salaried / Employed,110400.0,"Rs 1,00,001 - 2,00,000",3-4,Yes,Traveler_Student,No,No,,Rarely (once or twice a year),1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,No strong preference,4,3,4,4,5,4,4,3,4,Yes,821.0,Above Rs 600,1.0,1-2 kg,110.0,Below Rs 500,Maybe,Yes
R0018,NRI_Quality,46,45-54,Male,Banjara Hills,Self-employed / Business owner,169200.0,"Rs 1,00,001 - 2,00,000",1-2,Yes,NRI_Family,Yes,No,,Occasionally (every 2-3 months),1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,Jars/containers (reusable),4,2,4,5,5,4,4,4,3,No,255.0,Below Rs 300,3.7,3-5 kg,930.0,"Rs 500-1,500",Yes,Yes
R0019,Skeptical_LowIntent,42,35-44,Male,Gachibowli,Retired,91300.0,"Rs 50,000 - 1,00,000",3-4,No,Traveler_Student,Yes,No,,Never,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"Sealed pouches (lightweight, compact)",2,4,2,2,3,2,3,3,2,No,403.0,Rs 401-500,2.4,1-2 kg,100.0,Below Rs 500,No,No
R0020,Convenience_Family,21,Under 25,Female,Uppal,Self-employed / Business owner,43600.0,"Below Rs 50,000",5-6,No,Neither,No,No,,Never,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,"Sealed pouches (lightweight, compact)",4,4,4,4,5,4,4,4,2,No,492.0,Rs 401-500,2.5,1-2 kg,100.0,Below Rs 500,Maybe,Maybe
R0021,Skeptical_LowIntent,31,25-34,Female,Secunderabad,Homemaker,69500.0,"Rs 50,000 - 1,00,000",1-2,No,Neither,Yes,No,,Frequently (monthly or more),1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"Sealed pouches (lightweight, compact)",2,4,3,4,3,2,2,3,1,No,600.0,Above Rs 600,5.2,3-5 kg,3410.0,"Rs 3,001-5,000",No,Maybe
R0022,Traveler_Budget,18,Under 25,Male,Kukatpally,Salaried / Employed,71000.0,"Rs 50,000 - 1,00,000",5-6,Yes,Traveler_Student,No,No,,Occasionally (every 2-3 months),0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,"Sealed pouches (lightweight, compact)",3,5,4,4,4,3,3,4,5,Yes,474.0,Rs 401-500,8.1,6-10 kg,1500.0,"Rs 1,501-3,000",Yes,Yes
R0023,Skeptical_LowIntent,35,35-44,Female,Ameerpet,Self-employed / Business owner,35800.0,"Below Rs 50,000",5-6,Yes,Neither,No,No,,Rarely (once or twice a year),0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,"Sealed pouches (lightweight, compact)",1,4,2,2,1,1,1,2,3,No,200.0,Below Rs 300,1.3,1-2 kg,100.0,Below Rs 500,Maybe,Maybe
R0024,Skeptical_LowIntent,35,35-44,Male,,Salaried / Employed,60100.0,"Rs 50,000 - 1,00,000",3-4,Yes,Neither,No,No,,Rarely (once or twice a year),1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,"Sealed pouches (lightweight, compact)",3,3,2,2,3,2,2,3,3,No,302.0,Rs 300-400,2.7,1-2 kg,130.0,Below Rs 500,No,No
R0025,Skeptical_LowIntent,47,45-54,Male,Kondapur,Self-employed / Business owner,56500.0,"Rs 50,000 - 1,00,000",3-4,Yes,NRI_Family,No,No,,Rarely (once or twice a year),0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,No strong preference,2,4,2,2,1,2,1,2,1,No,368.0,Rs 300-400,4.7,3-5 kg,310.0,Below Rs 500,No,Maybe
R0026,NRI_Quality,53,45-54,Male,Secunderabad,Self-employed / Business owner,276200.0,"Rs 2,00,001 - 3,50,000",3-4,Yes,NRI_Family,No,No,,Occasionally (every 2-3 months),0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,Jars/containers (reusable),4,3,5,5,4,4,4,4,4,Yes,900.0,Above Rs 600,4.2,3-5 kg,1780.0,"Rs 1,501-3,000",Yes,Yes
R0027,Traveler_Budget,27,25-34,Male,Kondapur,Salaried / Employed,117000.0,"Rs 1,00,001 - 2,00,000",1-2,Yes,Traveler_Student,Yes,No,,Frequently (monthly or more),0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,"Sealed pouches (lightweight, compact)",3,4,4,3,4,4,3,4,4,Yes,472.0,Rs 401-500,8.6,6-10 kg,4970.0,"Rs 3,001-5,000",Yes,Yes
R0028,NRI_Quality,37,35-44,Female,Madhapur,Salaried / Employed,57000.0,"Rs 50,000 - 1,00,000",3-4,Yes,NRI_Family,Yes,No,,Occasionally (every 2-3 months),0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,"Sealed pouches (lightweight, compact)",5,3,5,5,4,4,4,3,5,Yes,807.0,Above Rs 600,8.3,6-10 kg,3870.0,"Rs 3,001-5,000",Yes,Yes
R0029,NRI_Quality,46,45-54,Male,Manikonda,Salaried / Employed,370400.0,"Above Rs 3,50,000",1-2,Yes,NRI_Family,Yes,No,,Frequently (monthly or more),1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,"Sealed pouches (lightweight, compact)",5,3,4,5,5,4,5,4,4,Yes,900.0,Above Rs 600,7.9,6-10 kg,7450.0,"Above Rs 5,000",Yes,Maybe
R0030,Convenience_Family,34,25-34,Female,Jubilee Hills,Salaried / Employed,56000.0,"Rs 50,000 - 1,00,000",5-6,Yes,NRI_Family,No,No,,Rarely (once or twice a year),0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,Jars/containers (reusable),3,3,3,4,5,3,4,5,3,No,410.0,Rs 401-500,4.3,3-5 kg,280.0,Below Rs 500,No,Maybe
R0031,Convenience_Family,38,35-44,Female,Dilsukhnagar,Salaried / Employed,119600.0,"Rs 1,00,001 - 2,00,000",7 or more,No,Traveler_Student,No,No,,Rarely (once or twice a year),0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,Jars/containers (reusable),4,4,4,5,5,4,4,4,2,No,554.0,Rs 501-600,6.3,6-10 kg,470.0,Below Rs 500,Yes,Yes
R0032,Skeptical_LowIntent,46,45-54,Male,Ameerpet,Retired,97300.0,"Rs 50,000 - 1,00,000",5-6,Yes,Traveler_Student,No,No,,Never,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,"Sealed pouches (lightweight, compact)",1,5,3,1,2,3,3,3,3,No,380.0,Rs 300-400,2.2,1-2 kg,100.0,Below Rs 500,No,No
R0033,Traveler_Budget,23,Under 25,Male,Kukatpally,Student,36400.0,"Below Rs 50,000",3-4,Yes,Traveler_Student,No,No,,Rarely (once or twice a year),1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,"Sealed pouches (lightweight, compact)",3,5,4,4,5,3,4,4,3,No,306.0,Rs 300-400,12.7,More than 10 kg,730.0,"Rs 500-1,500",Maybe,Yes
R0034,Traveler_Budget,30,25-34,Female,Madhapur,Salaried / Employed,66000.0,"Rs 50,000 - 1,00,000",3-4,No,Neither,Yes,No,,Rarely (once or twice a year),0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,No strong preference,3,5,4,4,4,3,3,4,4,Yes,448.0,Rs 401-500,7.1,6-10 kg,530.0,"Rs 500-1,500",Maybe,Maybe
R0035,Traveler_Budget,29,25-34,Male,Kukatpally,Student,51900.0,"Rs 50,000 - 1,00,000",7 or more,No,NRI_Family,No,No,,Occasionally (every 2-3 months),1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Sealed pouches (lightweight, compact)",3,5,3,5,4,3,3,4,4,Yes,512.0,Rs 501-600,9.4,6-10 kg,2450.0,"Rs 1,501-3,000",Maybe,Yes
R0036,NRI_Quality,33,25-34,Female,Miyapur,Homemaker,154700.0,"Rs 1,00,001 - 2,00,000",1-2,Yes,NRI_Family,Yes,No,,Frequently (monthly or more),1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,Jars/containers (reusable),5,2,4,5,4,4,5,3,5,Yes,882.0,Above Rs 600,4.8,3-5 kg,3810.0,"Rs 3,001-5,000",Yes,Yes
R0037,NRI_Quality,51,45-54,Male,Uppal,Salaried / Employed,133800.0,"Rs 1,00,001 - 2,00,000",1-2,Yes,NRI_Family,Yes,No,,Occasionally (every 2-3 months),1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,"Sealed pouches (lightweight, compact)",5,3,4,5,4,4,4,3,4,Yes,637.0,Above Rs 600,6.5,6-10 kg,2500.0,"Rs 1,501-3,000",Yes,Yes
R0038,Traveler_Budget,29,25-34,Female,Manikonda,Salaried / Employed,87400.0,"Rs 50,000 - 1,00,000",3-4,Yes,Traveler_Student,No,No,,Rarely (once or twice a year),1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,"Sealed pouches (lightweight, compact)",3,5,4,4,4,4,3,4,5,Yes,393.0,Rs 300-400,7.9,6-10 kg,1250.0,"Rs 500-1,500",No,Yes
R0039,NRI_Quality,43,35-44,Female,Jubilee Hills,Salaried / Employed,124700.0,"Rs 1,00,001 - 2,00,000",3-4,No,NRI_Family,Yes,Yes,Dryfii,Frequently (monthly or more),0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,"Sealed pouches (lightweight, compact)",4,3,4,5,4,4,5,4,3,No,807.0,Above Rs 600,3.6,3-5 kg,2510.0,"Rs 1,501-3,000",Yes,Maybe
R0040,Convenience_Family,32,25-34,Male,LB Nagar,Salaried / Employed,75600.0,"Rs 50,000 - 1,00,000",3-4,No,Traveler_Student,Yes,No,,Never,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,No strong preference,4,3,4,4,5,3,4,4,4,Yes,433.0,Rs 401-500,2.3,1-2 kg,100.0,Below Rs 500,Maybe,No
R0041,Traveler_Budget,22,Under 25,Male,Banjara Hills,Student,84000.0,"Rs 50,000 - 1,00,000",1-2,Yes,NRI_Family,No,No,,Frequently (monthly or more),0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,"Sealed pouches (lightweight, compact)",2,5,4,4,4,3,4,5,2,No,252.0,Below Rs 300,6.0,6-10 kg,2010.0,"Rs 1,501-3,000",No,Yes
R0042,Skeptical_LowIntent,29,25-34,Prefer not to say,Dilsukhnagar,Other,80000.0,"Rs 50,000 - 1,00,000",3-4,No,Traveler_Student,No,No,,Never,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"Sealed pouches (lightweight, compact)",2,4,2,4,2,2,3,2,2,No,635.0,Above Rs 600,4.7,3-5 kg,100.0,Below Rs 500,No,No
R0043,Convenience_Family,42,35-44,Male,Begumpet,Salaried / Employed,108300.0,"Rs 1,00,001 - 2,00,000",3-4,Yes,Neither,No,No,,Never,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,No strong preference,4,4,3,4,4,4,5,3,5,Yes,495.0,Rs 401-500,1.0,1-2 kg,100.0,Below Rs 500,Yes,Yes
R0044,Traveler_Budget,21,Under 25,Male,Dilsukhnagar,Student,41500.0,"Below Rs 50,000",1-2,Yes,Traveler_Student,No,No,,Rarely (once or twice a year),0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,"Sealed pouches (lightweight, compact)",2,5,4,3,5,3,4,4,4,Yes,370.0,Rs 300-400,5.6,3-5 kg,520.0,"Rs 500-1,500",Yes,Yes
R0045,Skeptical_LowIntent,40,35-44,Male,Dilsukhnagar,Salaried / Employed,35500.0,"Below Rs 50,000",1-2,No,Neither,No,No,,Occasionally (every 2-3 months),0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,"Sealed pouches (lightweight, compact)",2,4,3,3,2,2,2,2,2,No,275.0,Below Rs 300,5.0,3-5 kg,730.0,"Rs 500-1,500",Maybe,Yes
R0046,Skeptical_LowIntent,21,Under 25,Male,Manikonda,Homemaker,45100.0,"Below Rs 50,000",3-4,Yes,Neither,No,No,,Never,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Jars/containers (reusable),2,4,2,3,3,3,2,3,1,No,299.0,Below Rs 300,1.2,1-2 kg,100.0,Below Rs 500,No,Maybe
R0047,Traveler_Budget,25,25-34,Female,Secunderabad,Student,42300.0,"Below Rs 50,000",5-6,Yes,Traveler_Student,No,No,,Occasionally (every 2-3 months),1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,"Sealed pouches (lightweight, compact)",4,4,4,3,4,4,2,4,3,No,454.0,Rs 401-500,9.6,6-10 kg,1610.0,"Rs 1,501-3,000",Yes,Yes
R0048,Traveler_Budget,27,25-34,Female,Kukatpally,Self-employed / Business owner,74200.0,"Rs 50,000 - 1,00,000",3-4,Yes,NRI_Family,Yes,No,,Rarely (once or twice a year),0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,No strong preference,3,4,3,4,4,4,3,4,5,Yes,368.0,Rs 300-400,3.7,3-5 kg,150.0,Below Rs 500,No,Yes
R0049,Convenience_Family,58,55 and above,Male,Kondapur,Salaried / Employed,119400.0,"Rs 1,00,001 - 2,00,000",3-4,Yes,NRI_Family,No,No,,Never,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,"Sealed pouches (lightweight, compact)",4,4,3,5,4,3,4,4,4,Yes,530.0,Rs 501-600,2.4,1-2 kg,100.0,Below Rs 500,Maybe,No
R0050,NRI_Quality,30,25-34,Female,Banjara Hills,Self-employed / Business owner,112400.0,"Rs 1,00,001 - 2,00,000",5-6,Yes,NRI_Family,Yes,No,,Frequently (monthly or more),0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,Jars/containers (reusable),4,3,4,5,4,4,4,3,5,Yes,659.0,Above Rs 600,5.2,3-5 kg,3910.0,"Rs 3,001-5,000",Yes,Yes
R0051,NRI_Quality,55,55 and above,Male,Madhapur,Other,229600.0,"Rs 2,00,001 - 3,50,000",3-4,Yes,NRI_Family,Yes,No,,Rarely (once or twice a year),0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,"Sealed pouches (lightweight, compact)",5,3,4,5,4,4,4,4,4,Yes,834.0,Above Rs 600,9.2,6-10 kg,1510.0,"Rs 1,501-3,000",Yes,Yes
R0052,NRI_Quality,43,35-44,Male,Kondapur,Salaried / Employed,223200.0,"Rs 2,00,001 - 3,50,000",5-6,Yes,Traveler_Student,Yes,No,,Never,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,Jars/containers (reusable),5,3,5,5,4,5,4,3,4,Yes,900.0,Above Rs 600,4.2,3-5 kg,130.0,Below Rs 500,Maybe,Maybe
R0053,Skeptical_LowIntent,40,35-44,Female,Miyapur,Salaried / Employed,67600.0,"Rs 50,000 - 1,00,000",3-4,No,Neither,No,No,,Rarely (once or twice a year),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,No strong preference,1,4,2,4,1,3,2,3,3,No,303.0,Rs 300-400,1.0,1-2 kg,100.0,Below Rs 500,Maybe,No
R0054,Convenience_Family,39,35-44,Prefer not to say,Kondapur,Salaried / Employed,58200.0,"Rs 50,000 - 1,00,000",3-4,Yes,Neither,No,No,,Frequently (monthly or more),1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,No strong preference,4,4,4,4,5,4,3,4,3,No,384.0,Rs 300-400,1.5,1-2 kg,560.0,"Rs 500-1,500",No,Maybe
R0055,Convenience_Family,42,35-44,Male,Ameerpet,Self-employed / Business owner,151800.0,"Rs 1,00,001 - 2,00,000",1-2,Yes,Neither,No,No,,Rarely (once or twice a year),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,No strong preference,4,3,4,5,4,3,4,4,3,No,611.0,Above Rs 600,5.7,3-5 kg,860.0,"Rs 500-1,500",Maybe,Yes
R0056,Skeptical_LowIntent,33,25-34,Male,Banjara Hills,Homemaker,58100.0,"Rs 50,000 - 1,00,000",1-2,Yes,Neither,Yes,No,,Never,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,No strong preference,3,5,1,4,3,2,2,1,1,No,392.0,Rs 300-400,2.5,1-2 kg,100.0,Below Rs 500,No,No
R0057,Traveler_Budget,33,25-34,Female,Secunderabad,Student,57000.0,"Rs 50,000 - 1,00,000",7 or more,Yes,Neither,Yes,Yes,Spice Up Foods,Frequently (monthly or more),1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,"Sealed pouches (lightweight, compact)",3,5,4,4,4,4,4,4,5,Yes,410.0,Rs 401-500,9.5,6-10 kg,4170.0,"Rs 3,001-5,000",Maybe,Yes
R0058,Convenience_Family,34,25-34,Female,LB Nagar,Homemaker,70600.0,"Rs 50,000 - 1,00,000",5-6,Yes,Traveler_Student,Yes,Yes,Spice Up Foods,Occasionally (every 2-3 months),1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,"Sealed pouches (lightweight, compact)",4,4,3,4,5,4,4,4,4,Yes,595.0,Rs 501-600,1.6,1-2 kg,880.0,"Rs 500-1,500",No,Maybe
R0059,NRI_Quality,52,45-54,Male,Kukatpally,Homemaker,80800.0,"Rs 50,000 - 1,00,000",7 or more,Yes,Traveler_Student,Yes,No,,Frequently (monthly or more),1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,"Sealed pouches (lightweight, compact)",5,3,5,4,3,4,4,3,4,Yes,752.0,Above Rs 600,5.4,3-5 kg,2770.0,"Rs 1,501-3,000",,Yes
R0060,NRI_Quality,36,35-44,Male,Gachibowli,Homemaker,62300.0,"Rs 50,000 - 1,00,000",5-6,Yes,NRI_Family,Yes,No,,Frequently (monthly or more),1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,"Sealed pouches (lightweight, compact)",5,3,5,5,5,4,4,4,5,Yes,900.0,Above Rs 600,6.1,6-10 kg,5530.0,"Above Rs 5,000",Maybe,No
